,name,category,artist,popularity,urls
582,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",surprise,"Jack Harlow,Tory Lanez,DaBaby,Lil Wayne",75,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
583,Bandit (with YoungBoy Never Broke Again),surprise,"Juice WRLD,YoungBoy Never Broke Again",75,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
584,Homicide (feat. Eminem),surprise,"Logic,Eminem",75,https://open.spotify.com/track/7M2tXmeS15NAzEn7ABFeBg
585,6 Foot 7 Foot,surprise,"Lil Wayne,Cory Gunz",75,https://open.spotify.com/track/5Qy6a5KzM4XlRxsNcGYhgH
586,I Don't Like,surprise,"Chief Keef,Lil Reese",75,https://open.spotify.com/track/1h6kgem1ai8vUgO1rZOwfB
587,Shotta Flow (feat. Blueface) [Remix],surprise,"NLE Choppa,Blueface",74,https://open.spotify.com/track/5BJMeoCXXgbRAWfp6fTulr
588,Love & War,surprise,Kodak Black,74,https://open.spotify.com/track/293mQGfVwgXIOdA1GpiwAt
589,Gotta Have It,surprise,"JAY-Z,Kanye West",74,https://open.spotify.com/track/5Pt83OUaK3K9C2if4C5JOk
590,Remember the Name (feat. Styles of Beyond),surprise,"Fort Minor,Styles Of Beyond",74,https://open.spotify.com/track/6ndmKwWqMozN2tcZqzCX4K
591,Money,surprise,Cardi B,74,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
592,Can't Be Touched (feat. Mr. Magic & Trouble),surprise,"Roy Jones Jr.,Mr Magic,Trouble",74,https://open.spotify.com/track/3zmduBNsQ6BPDTZAkXzG5K
593,Lord Pretty Flacko Jodye 2 (LPFJ2),surprise,A$AP Rocky,73,https://open.spotify.com/track/1j6kDJttn6wbVyMaM42Nxm
594,Beware,surprise,"Big Sean,Lil Wayne,Jhené Aiko",73,https://open.spotify.com/track/6bxUnsSGZCmoHHU5auwtps
595,Hot N*gga,surprise,Bobby Shmurda,73,https://open.spotify.com/track/19gEmPjfqSZT0ulDRfjl0m
596,Never Sleep (with Lil Baby feat. Travis Scott),surprise,"NAV,Lil Baby,Travis Scott",73,https://open.spotify.com/track/3GdWfmQBiiJrDUvSZS1bGv
597,Taste (feat. Offset),surprise,"Tyga,Offset",73,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
598,Up,surprise,Cardi B,73,https://open.spotify.com/track/1XXimziG1uhM0eDNCZCrUl
599,Ball If I Want To,surprise,DaBaby,73,https://open.spotify.com/track/0cu0rhnlCnJ7JIeHRiLpj3
600,Kill Bill (feat. Doja Cat),neutral,"SZA,Doja Cat",82,https://open.spotify.com/track/0CrcwVLUe8wzLUIXgjXVZJ
601,Chemical,neutral,Post Malone,84,https://open.spotify.com/track/5w40ZYhbBMAlHYNDaVJIUu
602,Calm Down (with Selena Gomez),neutral,"Rema,Selena Gomez",96,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8
603,Search & Rescue,neutral,Drake,90,https://open.spotify.com/track/7aRCf5cLOFN1U7kvtChY1G
604,Boy's a liar Pt. 2,neutral,"PinkPantheress,Ice Spice",98,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv
605,Flowers,neutral,Miley Cyrus,100,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn
606,Sure Thing,neutral,Miguel,92,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV
607,Players,neutral,Coi Leray,93,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij
608,Die For You - Remix,neutral,"The Weeknd,Ariana Grande",95,https://open.spotify.com/track/7oDd86yk8itslrA9HRP2ki
609,Fast Car,neutral,Luke Combs,86,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT
610,Until I Found You (with Em Beihold) - Em Beihold Version,neutral,"Stephen Sanchez,Em Beihold",94,https://open.spotify.com/track/1Y3LN4zO1Edc2EluIoSPJN
611,Last Night,neutral,Morgan Wallen,90,https://open.spotify.com/track/59uQI0PADDKeE6UZDTJEe8
612,Anti-Hero,neutral,Taylor Swift,95,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
613,Nonsense,neutral,Sabrina Carpenter,90,https://open.spotify.com/track/6dgUya35uo964z7GZXM07g
614,Bad Habit,neutral,Steve Lacy,87,https://open.spotify.com/track/5CM4UuQ9Gnd6K2YyKGPMoK
615,Waffle House,neutral,Jonas Brothers,79,https://open.spotify.com/track/5iE3eUH2WGCXcE2xr6DEmU
616,Escapism.,neutral,"RAYE,070 Shake",86,https://open.spotify.com/track/5mHdCZtVyb4DcJw8799hZp
617,Creepin' (with The Weeknd & 21 Savage),neutral,"Metro Boomin,The Weeknd,21 Savage",97,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO
618,Princess Diana (with Nicki Minaj),neutral,"Ice Spice,Nicki Minaj",81,https://open.spotify.com/track/0ZxhtATQ0a6EvQNZ0z6NKV
619,Never Felt So Alone,neutral,Labrinth,86,https://open.spotify.com/track/2NbsBSshscKIPRG3kwBbfo
620,I Ain't Worried,neutral,OneRepublic,94,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB
621,ceilings,neutral,Lizzy McAlpine,92,https://open.spotify.com/track/2L9N0zZnd37dwF0clgxMGI
622,un x100to,neutral,"Grupo Frontera,Bad Bunny",85,https://open.spotify.com/track/6pD0ufEQq0xdHSsRbg9LBK
623,Moonlight,neutral,Kali Uchis,83,https://open.spotify.com/track/0JmnkIqdlnUzPaf8sqBRs3
624,Favorite Song,neutral,Toosii,85,https://open.spotify.com/track/1SRw5p2lVAi7RGlHEmZg66
625,All Of The Girls You Loved Before,neutral,Taylor Swift,91,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy
